gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000200312,RN7SKP255,NA,26,4,1880,5,13,20,13,16,9,72,102,234,48,296,240,352,44,155,48,166,85
ENSG00000200318,U3,NA,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ENSG00000200320,SNORA63,NA,12002,4405,9118,4194,10450,16252,6450,5364,3497,15388,4745,12925,62509,14919,16976,18470,18207,11832,19609,13435,16252
ENSG00000200354,SNORA71D,677840,242,159,233,137,213,278,323,235,264,374,414,273,1894,498,527,305,1404,490,1185,107,584
ENSG00000200379,RN7SKP45,NA,2,0,4,1,0,0,0,0,0,2,0,0,0,1,1,2,3,3,3,2,2
ENSG00000200385,SNORA42,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000200394,SNORA38B,100124536,134,121,119,60,114,173,164,186,273,274,119,204,1918,163,438,262,526,337,1123,384,453
ENSG00000200418,SNORA63,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ENSG00000200428,Y_RNA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000200463,SNORD118,727676,0,0,19,0,0,20,0,0,12,21,0,0,30,0,36,5,269,0,0,6,0
ENSG00000200472,RN7SKP44,NA,0,0,36,0,1,0,1,1,0,0,1,5,2,7,4,12,1,4,1,8,0
ENSG00000200475,RN7SKP162,NA,1,0,2,0,0,0,1,0,3,2,2,9,8,4,10,9,2,2,4,3,1
ENSG00000200488,RN7SKP203,NA,21,7,614,8,9,9,11,8,7,37,56,123,28,142,127,225,17,91,38,81,39
ENSG00000200534,SNORA33,594839,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0
ENSG00000200538,U3,NA,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0
ENSG00000200543,NA,NA,2,4,27,0,0,0,1,0,1,5,10,50,18,54,60,67,4,41,8,28,17
ENSG00000200597,RNU1-87P,NA,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
