"run","step","sample","reads"
"A01975_24","trimmed_fastqc_230110","T_4_1_L1_R1.trimmed.fastq.gz",21129437
"A01975_24","trimmed_fastqc_230110","T_4_1_L1_R2.trimmed.fastq.gz",21129437
"A01975_24","trimmed_fastqc_230110","T_4_1_L2_R1.trimmed.fastq.gz",21186915
"A01975_24","trimmed_fastqc_230110","T_4_1_L2_R2.trimmed.fastq.gz",21186915
"A01975_24","trimmed_fastqc_230110","T_4_2_L1_R1.trimmed.fastq.gz",22842222
"A01975_24","trimmed_fastqc_230110","T_4_2_L1_R2.trimmed.fastq.gz",22842222
"A01975_24","trimmed_fastqc_230110","T_4_2_L2_R1.trimmed.fastq.gz",22922483
"A01975_24","trimmed_fastqc_230110","T_4_2_L2_R2.trimmed.fastq.gz",22922483
"A01975_24","trimmed_fastqc_230110","T_4_3_L1_R1.trimmed.fastq.gz",23693993
"A01975_24","trimmed_fastqc_230110","T_4_3_L1_R2.trimmed.fastq.gz",23693993
"A01975_24","trimmed_fastqc_230110","T_4_3_L2_R1.trimmed.fastq.gz",23773712
"A01975_24","trimmed_fastqc_230110","T_4_3_L2_R2.trimmed.fastq.gz",23773712
